section|subsection|polity_name|polity_new_ID|polity_old_ID|variable_name|value_from|value_to|year_from|year_to|confidence|is_disputed|is_uncertain|expert_checked
General Variables|Identity and Location|Chaco Regional System - Early|us_chaco_1|us_chaco_1|original_name|Chaco Canyon||850|1039|Confident|False|False|False
General Variables|Identity and Location|Chaco Regional System - Late|us_chaco_2|us_chaco_2|original_name|Chaco Canyon||1040|1149|Confident|False|False|False
General Variables|Identity and Location|Aztec Regional System|us_aztec_puebloan|us_aztec_puebloan|original_name| - ||1150|1300|Confident|False|False|False
General Variables|Identity and Location|Spanish Empire II|es_spanish_emp_2|es_spanish_emp_2|original_name|Spanish Empire II||1716|1814|Confident|False|False|False
General Variables|Identity and Location|Ọ̀ràézè Ǹrì|ni_nri_k|ni_nri_k|original_name|Ọ̀ràézè Ǹrì||||Confident|False|False|False
General Variables|Identity and Location|Norman England|gb_england_norman|gb_england_norman|original_name|Regnum Anglorum||||Confident|False|False|False
General Variables|Identity and Location|Oaxaca - Rosario|mx_rosario|MxRosar|original_name|Rosario||||Confident|False|False|True
General Variables|Identity and Location|Egypt - Dynasty 0|eg_naqada_3|EgNaqa3|original_name|Egypt - Dynasty 0||||Confident|False|False|True
General Variables|Identity and Location|Tang Dynasty II|cn_tang_dyn_2|CnTangL|original_name|Tang Dynasty II||||Confident|False|False|True
General Variables|Identity and Location|Early A'chik|in_achik_1|InGaroE|original_name|Achik||||Confident|False|False|True
General Variables|Identity and Location|Oneota|us_oneota|USOneot|original_name|Oneota||||Confident|False|False|True
General Variables|Identity and Location|Khanate of Bukhara|uz_janid_dyn|UzJanid|original_name|Khanate of Bukhara||||Confident|False|False|True
General Variables|Identity and Location|Ancient Khwarazm|uz_khwarasm_1|UzKhw01|original_name|Ancient Khwarazm||||Confident|False|False|True
General Variables|Identity and Location|Egypt - Thebes-Libyan Period|eg_thebes_libyan|EgThebL|original_name|Egypt - Thebes-Libyan Period||||Confident|False|False|True
General Variables|Identity and Location|Egypt - Tulunid-Ikhshidid Period|eg_thulunid_ikhshidid|EgTulIk|original_name|Egypt - Tulunid-Ikhshidid Period||||Confident|False|False|True
General Variables|Identity and Location|Spanish Empire I|es_spanish_emp_1|EsHabsb|original_name|Spanish Empire||||Confident|False|False|True
General Variables|Identity and Location|Atlantic Complex|fr_atlantic_complex|FrAtlBA|original_name|Atlantic Complex||||Confident|False|False|True
General Variables|Identity and Location|Beaker Culture|fr_beaker_eba|FrBeakr|original_name|Beaker Culture||||Confident|False|False|True
General Variables|Identity and Location|French Kingdom - Early Bourbon|fr_bourbon_k_1|FrBurbE|original_name|French Kingdom - Early Bourbon||||Confident|False|False|True
General Variables|Identity and Location|Chuuk - Early Truk|fm_truk_1|FmTrukE|original_name|Early Truk||||Confident|False|False|True
General Variables|Identity and Location|Hallstatt B2-3|fr_hallstatt_b2_3|FrHallB|original_name|Hallstatt B||||Confident|False|False|True
General Variables|Identity and Location|Hallstatt C|fr_hallstatt_c|FrHallC|original_name|Hallstatt C||||Confident|False|False|True
General Variables|Identity and Location|Hallstatt D|fr_hallstatt_d|FrHallD|original_name|Hallstatt D||||Confident|False|False|True
General Variables|Identity and Location|Early Merovingian|fr_merovingian_emp_1|FrMervE|original_name|Early Merovingian||||Confident|False|False|True
General Variables|Identity and Location|Proto-Carolingian|fr_merovingian_emp_3|FrMervL|original_name|Proto-Carolingian||||Confident|False|False|True
General Variables|Identity and Location|Middle Merovingian|fr_merovingian_emp_2|FrMervM|original_name|Middle Merovingian||||Confident|False|False|True
General Variables|Identity and Location|La Tene A-B1|fr_la_tene_a_b1|FrTeneA|original_name|La Tene A-B1||||Confident|False|False|True
General Variables|Identity and Location|La Tene B2-C1|fr_la_tene_b2_c1|FrTeneB|original_name|La Tene B2-C1||||Confident|False|False|True
General Variables|Identity and Location|La Tene C2-D|fr_la_tene_c2_d|FrTeneC|original_name|La Tene C2-D||||Confident|False|False|True
General Variables|Identity and Location|French Kingdom - Early Valois|fr_valois_k_1|FrValoE|original_name|French Kingdom - Early Valois||||Confident|False|False|True
General Variables|Identity and Location|French Kingdom - Late Valois|fr_valois_k_2|FrValoL|original_name|French Kingdom - Late Valois||||Confident|False|False|True
General Variables|Identity and Location|Polish Kingdom - Piast Dynasty Fragmented Period|pl_piast_dyn_2|pl_piast_dyn_2|original_name|Polish Kingdom - Piast Dynasty Fragmented Period||||Confident|False|False|False
General Variables|Identity and Location|Kwararafa|ni_kwararafa|ni_kwararafa|original_name|Kwararafa||||Confident|False|False|False
General Variables|Identity and Location|Hungary Kingdom - Árpád Dynasty|hu_arpad_dyn|hu_arpad_dyn|original_name|Hungary Kingdom||||Confident|False|False|False
General Variables|Identity and Location|Hungary Kingdom - Anjou and Later Dynasties|hu_later_dyn|hu_later_dyn|original_name|Hungary Kingdom - Anjou and Later Dynasties||||Confident|False|False|False
General Variables|Identity and Location|Yemen - Era of Warlords|ye_warlords|YeWarLd|original_name|Era of the War Lords||||Confident|False|False|True
General Variables|Identity and Location|Holy Roman Empire - Ottonian-Salian Dynasty|de_empire_1|de_empire_1|original_name|Holy Roman Empire - Ottonian-Salian Dynasty||||Confident|False|False|False
General Variables|Identity and Location|State of the Teutonic Order|pl_teutonic_order|PlTeuton|original_name|State of the Teutonic Order||||Confident|False|False|False
General Variables|Identity and Location|Kingdom of Bohemia - Přemyslid Dynasty|cz_bohemian_k_1|cz_bohemian_k_1|original_name|Kingdom of Bohemia - Přemyslid Dynasty||||Confident|False|False|False
General Variables|Identity and Location|Holy Roman Empire - Hohenstaufen and Welf Dynasties|de_empire_2|de_empire_2|original_name|German Kingdom - Hohenstaufen and Welf Dynasties||||Confident|False|False|False
General Variables|Identity and Location|Electorate of Brandenburg|de_hohenzollern_1|de_brandenburg_1|original_name|Electorate of Brandenburg||||Confident|False|False|False
General Variables|Identity and Location|Brandenburg-Prussia|de_hohenzollern_2|de_brandenburg_2|original_name|Brandenburg-Prussia||||Confident|False|False|False
General Variables|Identity and Location|Electorate of Bavaria|de_bavaria_1|de_bavaria_1|original_name|Electorate of Bavaria||||Confident|False|False|False
General Variables|Identity and Location|Germany - Hohenzollern Dynasty|de_hohenzollern_3|de_hohenzollern_3|original_name|Germany - Hohenzollern Dynasty||||Confident|False|False|False
General Variables|Identity and Location|Holy Roman Empire - Hohenstaufen Faction|de_empire_2_sub|de_empire_2_sub|original_name|Holy Roman Empire - Hohenstaufen Faction||||Confident|False|False|False
General Variables|Identity and Location|Russian Empire, Romanov Dynasty I|ru_romanov_dyn_1|ru_romanov_dyn_1|original_name|Russian Empire, Romanov Dynasty I||||Confident|False|False|False
General Variables|Identity and Location|Russian Empire, Romanov Dynasty II|ru_romanov_dyn_2|ru_romanov_dyn_2|original_name|Russian Empire, Romanov Dynasty II||||Confident|False|False|False
General Variables|Identity and Location|Soviet Union|ru_soviet_union|ru_soviet_union|original_name|Soviet Union||||Confident|False|False|False
General Variables|Identity and Location|East Francia|de_east_francia|de_east_francia|original_name|East Francia||||Confident|False|False|False
General Variables|Identity and Location|Holy Roman Empire - Fragmented Period|de_empire_3|de_empire_3|original_name|Holy Roman Empire||||Confident|False|False|False
General Variables|Identity and Location|Polish Kingdom - Piast Dynasty|pl_piast_dyn_1|PlPoliK|original_name|Polish Kingdom - Piast Dynasty||||Confident|False|False|False
